"Timestamp","Age","Gender","What is your educational background? (please only share the course title or the general field)","What is your professional background: current or past? 
(please only share the title of your position, general field, or ""student""/""unemployed"") ","1. I have a good understanding of the current news in AI research and implementation of AI.","2. I have used ChatGPT-3 or any equavalent AI language tool in the past for....","3. AI tools like ChatGPT are generally helpful and I like having access to them","4. Automation is stealing / is going to steal our jobs. ","5. I  believe that students using ChatGPT is a negative phenomenon.","6. I  believe that people using ChatGPT to help their work tasks is a negative phenomenon.","7. I think that AI research should be regulated by the government to prevent misuse","8. AI innovation should receive more funding.","9. I feel that the news coverage on AI technology is confusing and/or 
misleading.","10. I do my own research after seeing a potentially misleading headline about AI or automation.","11. Please complete the sentence: 
The continuing development of AI is... ","12. If you have been impacted by the implementation of AI / automation in your workplace, please consider sharing it:","13. Are you worried of the future considering the current stage of AI research?","13A. Please motivate your answer:","14. Should there be limits on number of jobs businesses can replace with machines, even if they are better and cheaper than humans?  ","15. Should machines and AI be limited to jobs that are dangerous or unhealthy for humans? ","16. Finally, what would in your opinion help workers adapt to the inevitable change in careers?"
"2023/04/03 2:48:06 PM GMT+2","20","Female","Graphic design","Student","4","Asking general information about the world to better understand a random topic for my own sake;Writing a CV / cover letter","3","4","2","2","3","","4","4","all of the above","It’s mostly AI art but it’s not as bad because the AI is taking existing art but it’s just a matter of times when it will began to do its own art ","Yes","It’s something that it’s knowledge is rapidly growing, AI can be helpful but people will use it to their advantage and it will have negative effects.","4","4","Jobs have always changed, I don’t think that AI working is such a problem."
"2023/04/03 2:49:16 PM GMT+2","19","Female","bc in philosophy","student","2","I have never used such tool, but I might consider in the future","2","3","3","2","4","3","4","5","useful;futuristic","","Maybe","I don't feel informed enough about this topic despite how much it can affect society","4","5","In my opinion workers should embrace change and keep an open mind but be reasonably skeptical."
"2023/04/03 2:58:35 PM GMT+2","19","Female","School","Student","2","I have never used such tool, but I might consider in the future","2","4","4","4","3","3","3","4","worrying","","Maybe","..","4","5",".."
"2023/04/03 3:01:20 PM GMT+2","21","Female","Psychology","Student","4","Assignments, homework, exams, understanding a topic taught at school","1","2","1","1","4","4","4","1","useful","","No","I think it will help us ","4","5","Re-education and better understanding of the good effect it has on their jobs "
"2023/04/03 3:07:13 PM GMT+2","21","Female","Cognitive Science 2nd semester","student","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Aid decision-making in private affairs;Helping with a creative process in my private hobbies","4","3","4","3","5","1","4","1","worrying;detrimental to society;useful;futuristic;exciting;beneficial to society","I have not been impacted","Maybe","I think it’s a very interesting field of research thst could potentially alter our lives for the better but at the same time has the possibility to affect us very negatively as a society and an individual as well, ranging from professional life to structures of thinking, learning experiences, our relationship with technology, attention span and so on ","5","5","I don’t know"
"2023/04/03 3:13:35 PM GMT+2","21","Female","International business","student, marketing intern","3","Asking general information about the world to better understand a random topic for my own sake","3","3","3","4","4","4","3","4","worrying;useful","","Maybe","Since AI became popular only lately i am not really sure whether it is something to worry about or to celebrate","4","4","Education in the workplace about AI"
"2023/04/03 3:14:20 PM GMT+2","22","Female","computer science","software engineer","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Professional work;Writing a CV / cover letter;Helping with a creative process in my private hobbies","4","2","5","2","3","5","4","5","useful;beneficial to society","","No","In every era there is something groundbraking, that is changing the world and the change is needed for us to continue. I don't think the ai research should be something worrying, it is not creating anything new, it is just scraping things from internet and putting them together to make things easier for us, which I don't think is a necessarily bad thing. Yes, we might get lazy, but that is literally every invetntion that was created with the intent to make things easier. ","2","3","The AI as it is now, and also as it is getting better, still needs to write the task it should solve clearly, so it does exactly what you want. In that case, I think the future is going to be mostly about learning how to word your expectations as clear as possible."
"2023/04/03 3:19:19 PM GMT+2","22","Male","Massmedia highschool","University student/cinema projectionist","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Fun","5","3","1","1","1","4","3","3","worrying;useful;futuristic","","Yes","If you Saw the terminator you'll know But all jokes aside Humans are the biggest threat to humanity and life itself Self conscious AI could realise that","4","4","Go with the times Learn how to work with the new technology and how to use it to your benefit"
"2023/04/03 3:42:53 PM GMT+2","22","Other","Psychology ","Student","3","Helping with a creative process in my private hobbies","2","4","4","2","3","1","4","3","morally wrong;worrying;useful;futuristic","","Yes","For example if kids use AI to cheat on tests or to write their assigments for them, they won't learn anything at all. I don't think AI is inherently bad, i just think many systems should/would have to be changed in order to safely use AI (schools teach useless info now – instead, they should cover creative and critical thinking that makes the students feel like they don't need or can't get help of AI). Also, since AI art (pictures, music, stories etc.) is becoming a thing, it's losing its worth, yet many people might lose their jobs because of it either way.","4","4","Learning how to use AI to their advantage. Maybe it doesn't have to replace the workers, maybe the workers can use it as a tool..."
"2023/04/03 4:19:39 PM GMT+2","21","Female","Finance, banking and insurance","Student","3","Assignments, homework, exams, understanding a topic taught at school","5","4","1","3","3","4","4","2","useful","","Maybe","I just hope it won’t be used in a harmful way","4","4","Access to other job offers, information "
"2023/04/03 4:19:45 PM GMT+2","22","Female","Cognitive Science","Student","5","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Aid decision-making in private affairs;Professional work;Helping with a creative process in my private hobbies","4","1","1","1","5","2","3","5","worrying","","Yes","Worrying about the potential existential risk concerning AI. I worry about the detrimental changes it will have upon the human species. I see it as a control problem, as long as we can't explain AI completely, we can't control it. I don't worry much about the automatization in itself, but worry more if we give too much responsibility to AI without understanding the concequences of that agency.","2","2","Exploit and explore the potential of AI"
"2023/04/03 5:09:31 PM GMT+2","33","Male","Psychology & Creative Writing","Mental health worker","1","I have never used such tool and don't want to","2","1","4","4","3","3","3","4","useful;exciting;beneficial to society","Nihil","No","The future is the land of opportunities :) ","3","2","Stability outside of their career (in family-life, society, access to health care etc.) "
"2023/04/03 5:18:46 PM GMT+2","19","Female","Cand.Scient.Pol","Student + part time waiter","2","Asking general information about the world to better understand a random topic for my own sake","3","5","3","3","5","3","5","1","worrying;detrimental to society","","Yes","","3","5",""
"2023/04/03 5:21:41 PM GMT+2","20","Male","Studying software technology engineering ","Student","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Aid decision-making in private affairs;Professional work;Writing a CV / cover letter","4","2","2","1","3","3","2","1","worrying;useful;futuristic;exciting","","Maybe","Have you seen terminator?","2","2","Therapy, governmental support"
"2023/04/03 6:27:38 PM GMT+2","28","Male","MASTER OF SCIENCE","Employed ","3","I have never used such tool, but I might consider in the future","4","1","1","2","4","3","2","2","worrying;useful;futuristic;beneficial to society","","No","","2","3",""
"2023/04/03 6:48:03 PM GMT+2","50","Male","Software programmer ","Programmer/Driver","3","Asking general information about the world to better understand a random topic for my own sake","4","2","1","1","3","4","3","3","futuristic","","No","","3","4",""
"2023/04/03 6:49:05 PM GMT+2","20","Female","Cognitive Science","Student","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Aid decision-making in private affairs;Free therapy","5","3","2","1","4","5","4","5","worrying;useful;futuristic;beneficial to society","","Maybe","I think in order for AI to continue being beneficial there must be a greater focus on AI ethics, such as erasing biases and ensuring greater transparency on datasets that are used in AI training ","4","2",""
"2023/04/03 9:38:36 PM GMT+2","19","Male","University","Unemployed","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake","4","5","3","3","4","1","4","2","worrying;detrimental to society","","Yes","With every great technology comes great responsibility. It can easily be misused and it seems like the development far outruns the safety regulations, i think a pause is needed to properly assess the current changes and optimize it","4","3","AI is not a refined tool, and i believe that it def still needs supervision. Also it is important to understand that even if an AI can now program certain algorithms to websites, databases, etc.. only means that the worker now has more time planning and fine tuning his designs. AI should be a tool that removes the repetitive “slave work” aspect to assignment."
"2023/04/03 9:58:21 PM GMT+2","30","Female","Business administration","Employed","3","Writing a CV / cover letter","3","2","1","1","1","5","4","5","useful;futuristic;exciting;beneficial to society","","No","","1","1",""
"2023/04/03 11:32:17 PM GMT+2","20","Male","HHX ","Finance economics","3","I have never used such tool and don't want to","4","5","5","5","2","3","3","1","exciting","","No","","4","1",""
"2023/04/04 8:14:31 AM GMT+2","20","Female","Cognitive science","Student","2","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake","4","1","3","1","2","4","4","4","useful;exciting;beneficial to society","","No","","5","3","Stopping the spread of misinformation, being transparent"
"2023/04/04 8:40:38 AM GMT+2","20","Female","Economics and Business Administration","Student","4","Asking general information about the world to better understand a random topic for my own sake","3","2","5","2","5","2","3","5","all of the above;","We have a project for a course that I am enrolled in and we are assigned to work in groups and respond to the questions in order to write the project. Without any consideration of the input that might come after we consulting ChatGPT, we asked it to respond to the questions to have good parameters from which to get inspired in our final project. Even if it sounds good, I really think this activity deteriorated our capacity to think critically and think on our own and I really don’t like the feeling now after using it, it almost feels like cheating, even though we won’t use the ChatGPT version of the answers. I am sure that almost each student nowadays deals with the same feeling or at least feels like their mind has an extension which works just fine without them thinking.","Maybe","It is a tool of course, that’s why it can be interpreted by some as good and by others as bad. That’s a matter of how it is going to be used by humans, but it is going to be used for bad things for sure, just because that’s how human nature is - both good and bad. The problem is that for this kind of tools, similar to social media, there must be rules and regulations that prevent bad things to happen. I am more frightened by the ability of human beings to twist this tool into evil rather than by AI’s ability to manipulate or gain conscience. The latter may also be a concern, but it won’t happen before the former. So, humans are their own enemies in a way. ","4","1","- Developing a mechanism that would facilitate their personal update of skills that can’t be replaced by machines or softwares. 
- Learning how to use AI, if that is the new requirement on the market. 
- Being open-minded and always on track with the new changes to remain relevant and well-informed.
- Be aware of the ways in which their companies use AI and be vocal if it doesn’t fit their values or principals. "
"2023/04/04 11:16:22 AM GMT+2","23","Male","automation","student","3","I have never used such tool and don't want to","2","2","5","5","3","1","5","1","useless","","No","It is just a bunch of regressions. I am not worried about that.","2","2","Emotional support"
"2023/04/04 3:19:39 PM GMT+2","58","Female","Sound technician   ","Unemployed ","3","Writing a CV / cover letter;Helping with a creative process in my private hobbies","3","2","4","4","3","3","5","5","worrying","Well it’s NOT exactly people’s knowledge! ","Yes","I never use it ","5","5",""
"2023/04/04 3:32:39 PM GMT+2","19","Male","STX","Head of buyer department","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Professional work;Writing a CV / cover letter;Helping with a creative process in my private hobbies","5","3","3","5","3","5","4","4","useful;futuristic;exciting;beneficial to society","","No","","4","4",""
"2023/04/04 4:00:02 PM GMT+2","21","Male","Gymnasium ","Student ","4","Professional work;Helping with a creative process in my private hobbies","4","2","3","1","3","5","3","4","worrying;useful;exciting;beneficial to society","","No","There's better chance for optimisation in workplaces, and could even help people ","3","4","Trust in the process "
"2023/04/04 4:47:01 PM GMT+2","20","Male","Software enigneering","Student","3","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Helping with a creative process in my private hobbies","4","1","1","1","3","3","4","3","useful;futuristic;beneficial to society","","Maybe","It depends on how AI is developed. From my experience, people will trust chatGPTs words without even thinking twice about the knowledge that is given to them. There have been multiple time where it has given me wrong answers. But it is sometimes hard to notice the false knowledge because it will tell you everything with confidence like it was right. China has been developing an AI tool of their own to rival chatGPT. As you have probably researched, people you AI to gain knowledge on certain topics. They use it as an alternative to google. The problem is that Chinas AI has been detected in censoring topics such as the massacre of Tiananmen square. It becomes dangerous because we now will gain knowledge without a source other than an AI generated response.","4","4",""
"2023/04/04 7:12:06 PM GMT+2","35","Male","PhD medicine ","assistant professor ","4","Professional work;fun and testing ","5","2","2","1","4","3","4","3","worrying;useful;exciting;beneficial to society","","Yes","","2","2",""
"2023/04/05 12:04:35 AM GMT+2","30","Male","Master IT","IT consultant","4","Asking general information about the world to better understand a random topic for my own sake","4","3","4","3","4","4","3","2","useful;futuristic;exciting;beneficial to society","","No","","1","1",""
"2023/04/05 9:47:52 AM GMT+2","20","Male","Software Engineering ","Sales, student and web design ","5","Asking general information about the world to better understand a random topic for my own sake;Helping with a creative process in my private hobbies","5","2","2","2","4","3","5","5","exciting;beneficial to society","","No","","3","3","Propper education and background as well as training together with the AI systems "
"2023/04/06 6:16:10 PM GMT+2","20","Female","second semester student of Cognitive Science","student","4","Assignments, homework, exams, understanding a topic taught at school;Writing a CV / cover letter;Helping with a creative process in my private hobbies","5","2","3","2","3","3","1","1","all of the above","","Maybe","I believe there are way too many science fiction movies within the genre of ""AI that destroys humanity"", therefore, I am not afraid that it will happen. Although, there is always a chance that there will be someone who wants to play God and show what they are capable of creating, like a super-intelligent evil machine.","2","2","Making sure, that after being replaced they get another job opportunity maybe an even better one than they had before."
"2023/04/10 7:19:15 PM GMT+2","20","Male","cognitive science","student","4","Assignments, homework, exams, understanding a topic taught at school;Asking general information about the world to better understand a random topic for my own sake;Writing a CV / cover letter","4","4","2","3","4","2","5","4","worrying;detrimental to society;futuristic","","Yes","it is very unregulated and very accessible to the masses, including unsavory people who could use it for evil (people are already making deepfakes of regular people to bully them)","3","4","learn to utilize ai themselves, i think for a lot of them a potential prospect of overseeing the AI could be useful (considering they might be experts in the field)"
